PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] IBM_1.raw.PG.Quantity,[2] IBM_2.raw.PG.Quantity,[3] IBM_3.raw.PG.Quantity,[4] IBM_4.raw.PG.Quantity,[5] IBM_5.raw.PG.Quantity,[6] IBM_6.raw.PG.Quantity,[7] IBM_7.raw.PG.Quantity,[8] IBM_8.raw.PG.Quantity,[9] IBM_9.raw.PG.Quantity,[10] IBM_10.raw.PG.Quantity,[11] IBM_11.raw.PG.Quantity,[12] IBM_12.raw.PG.Quantity,[13] IBM_13.raw.PG.Quantity,[14] IBM_14.raw.PG.Quantity,[15] IBM_15.raw.PG.Quantity,[16] IBM_16.raw.PG.Quantity,[17] IBM_17.raw.PG.Quantity,[18] IBM_CTRL_1.raw.PG.Quantity,[19] IBM_CTRL_2.raw.PG.Quantity,[20] IBM_CTRL_3.raw.PG.Quantity,[21] IBM_CTRL_4.raw.PG.Quantity
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,235040.140625,95490.6796875,172931.578125,457736.375,105718.1953125,42888.37109375,79568.1953125,320071.8125,165462.421875,139163.109375,142305.671875,437342.21875,39788.5,92701.546875,157640.390625,38261.1953125,70521.59375,185407.34375,76212.609375,103919.4375,120254.7265625
A0A075B6S2,IGKV2D-29,Immunoglobulin kappa variable 2D-29,4512718.5,534843.5625,1864925.375,3246276.75,391581.28125,369901.0625,1212738.5,2908759,2562530,872899.0625,906762.75,5945409,304649.4375,605199.0625,987559.625,433144.875,1025706.1875,1777798.5,543647.4375,1518928.875,1106683.375
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,119044.1953125,NaN,NaN,NaN,NaN,5548.95263671875,46189.37890625,18209.021484375,16115.5595703125,NaN,25726.892578125,109051.0546875,7400.8681640625,NaN,30259.71875,NaN,12734.791015625,22020.033203125,NaN,NaN,42648.28125
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulinn kappa variable 1-37;Probable non-functional immunoglobulinn kappa variable 1D-37,6498.92529296875,NaN,11548.322265625,NaN,NaN,NaN,8940.6591796875,11464.203125,NaN,NaN,NaN,29596.623046875,NaN,NaN,NaN,14380.7333984375,NaN,NaN,NaN,NaN,NaN
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,134568.671875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34990.078125,146039.390625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A087WSY6,IGKV3D-15,Immunoglobulin kappa variable 3D-15,411005.46875,180658.796875,171997.921875,357297.03125,22389.53125,18681.2265625,152753.046875,233542.125,219659.859375,71948.2265625,78115.0234375,538486.6875,8198.3076171875,NaN,61320.0859375,35290.87109375,27493.16015625,92967.6328125,16507.857421875,14179.74609375,58050.85546875
A0A087WW87;P01614,IGKV2-40;IGKV2D-40,Immunoglobulin kappa variable 2-40;Immunoglobulin kappa variable 2D-40,54686.36328125,NaN,22568.380859375,NaN,NaN,11825.62109375,40718.11328125,17791.291015625,41037.98828125,13971.634765625,57798.3671875,55289.96484375,NaN,NaN,70971.09375,NaN,5501.63916015625,23068.3125,NaN,NaN,30855.53125
A0A087X1C5;P10635,CYP2D7;CYP2D6,Putative cytochrome P450 2D7;Cytochrome P450 2D6,210943.265625,676405,152752.1875,273952.0625,557694.125,412881.15625,143435.46875,123735.7109375,173484.96875,156782.34375,236636.015625,63736.171875,220444.0625,299025,206755.03125,185590.375,622747.625,499496.53125,473704.96875,670212.625,468892.0625
A0A0A0MRZ8;P04433,IGKV3D-11;IGKV3-11,Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11,4797342.5,606265.9375,2297429.75,1041124.1875,411184.5625,574415.5,1480489,2716202.5,3008301.75,935719.0625,2263455.5,7723442,334126.78125,1320003.75,1160482.375,442155.625,879503.9375,2534538.75,438412.15625,1191621.875,974958.0625
A0A0A0MS14,IGHV1-45,Immunoglobulin heavy variable 1-45,42455.6640625,NaN,10921.103515625,NaN,NaN,12939.6962890625,7034.3046875,42099.7578125,14503.541015625,12851.7431640625,14899.9169921875,70636.765625,NaN,18211.52734375,22736.310546875,NaN,16754.99609375,28673.71875,9203.3408203125,15714.4189453125,10246.392578125
A0A0A0MS15,IGHV3-49,Immunoglobulin heavy variable 3-49,387318.96875,189384.75,262445.15625,213776.6875,126479.296875,120123.1171875,165744.265625,315896.90625,929289.8125,99700.96875,222978.046875,538113.3125,71646.4921875,137191.640625,241186.109375,134477.421875,101543.7890625,337211.03125,71964.484375,137656.40625,117372.796875
A0A0A0MT36;A0A0C4DH26,IGKV6D-21;IGKV6D-41,Immunoglobulin kappa variable 6D-21;Probable non-functional immunoglobulin kappa variable 6D-41,387207.59375,NaN,20676.28515625,34069.3046875,NaN,11463.3408203125,22948.91796875,31725.435546875,30843.197265625,24663,37235.62890625,99233.171875,NaN,41308.0703125,31622.994140625,NaN,14574.9560546875,94564.09375,13395.7841796875,4668.33935546875,12043.89453125
A0A0B4J1U3,IGLV1-36,Immunoglobulin lambda variable 1-36,35953.83203125,NaN,27668.91796875,NaN,NaN,NaN,NaN,13511.7705078125,32575.5546875,9224.548828125,NaN,26342.080078125,NaN,NaN,NaN,NaN,NaN,11058.76953125,20317.125,NaN,23721.015625
A0A0B4J1U7,IGHV6-1,Immunoglobulin heavy variable 6-1,170122.4375,143259.328125,185487.796875,268176.875,47172.21875,678909,866222.1875,331398.4375,3171784.75,235811.09375,92680.7890625,675991.1875,272190.15625,46920.2890625,656702.625,248076.34375,NaN,641555.8125,NaN,216636.453125,261959.640625
A0A0B4J1V0,IGHV3-15,Immunoglobulin heavy variable 3-15,923395.8125,NaN,24068.583984375,21951.603515625,39532.203125,NaN,68506.09375,98643.6796875,141673.640625,40705.625,162135.25,365525.5625,19859.59765625,NaN,82390.578125,NaN,39272.7109375,52695.1796875,28576.623046875,26682.1484375,56867.0234375
A0A0B4J1V2,IGHV2-26,Immunoglobulin heavy variable 2-26,128226.3984375,13797.140625,38112.140625,45018.28125,12226.984375,8218.2841796875,45294.5546875,23453.044921875,60674.2265625,31098.484375,64096.984375,62884.6953125,11553.0283203125,19541.232421875,52605.14453125,14387.3076171875,NaN,21338.126953125,3276.474365234375,30002.443359375,12853.744140625
A0A0B4J1V6,IGHV3-73,Immunoglobulin heavy variable 3-73,1220675.375,NaN,259225.796875,717336.4375,499380.90625,179520.1875,350666.4375,846922.25,1041048.5625,328041.84375,506478.125,1566631.75,NaN,122091.96875,489056.4375,18408.39453125,238836.515625,440271.625,161897.921875,255138.703125,412427.90625
A0A0B4J1X5,IGHV3-74,Immunoglobulin heavy variable 3-74,635290.375,128870.1875,301466.09375,2384060.25,133264.90625,50384.83984375,166087.421875,340205.25,518762.5,154913.359375,237456.5625,944654.9375,219020.84375,151845.640625,233172.75,150498.78125,374767.28125,186995.09375,122660.2890625,250201.5625,133132.75
A0A0B4J1X8,IGHV3-43,Immunoglobulin heavy variable 3-43,184048.140625,33711.40234375,16069.2294921875,NaN,NaN,NaN,74401.40625,123063.53125,71052.171875,61691.8125,54172.41015625,37805.09375,NaN,37309.76171875,38043.2421875,NaN,21581.5234375,NaN,NaN,NaN,32076.02734375
A0A0B4J1Y8,IGLV9-49,Immunoglobulin lambda variable 9-49,124738.5,NaN,188254.4375,170503.703125,205695.171875,NaN,11143.9423828125,254709.03125,26831.185546875,59912.26953125,144351.984375,111358.5859375,NaN,NaN,NaN,24988.693359375,NaN,35712.91015625,18374.30859375,NaN,NaN
A0A0B4J1Y9,IGHV3-72,Immunoglobulin heavy variable 3-72,131990.359375,5476.54248046875,88990.5,24347.919921875,6607.06640625,26301.21484375,71651.953125,91059.5546875,190614.484375,66211.828125,24898.548828125,329019.4375,41612.82421875,16154.2939453125,30489.486328125,17845.4140625,24127.216796875,121800.5390625,15818.3046875,19918.505859375,51775.32421875
A0A0B4J2D5;P0DPI2,GATD3B;GATD3A,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial;Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial",638444.875,800635.25,396632.34375,667086.6875,1516933.375,774709.8125,1102256,779537,899028.5,708379.4375,1066587.875,499951.5625,982556.3125,1116210.75,808155.75,1126733,1275816.25,1141990.875,1390014.125,578711.25,726835.9375
A0A0B4J2D9;P0DP09,IGKV1D-13;IGKV1-13,Immunoglobulin kappa variable 1D-13;Immunoglobulin kappa variable 1-13,18954.16796875,NaN,55831.921875,NaN,NaN,6560.48486328125,6816.68505859375,61918.7265625,41349.36328125,490079.5,443702.9375,121215.953125,NaN,NaN,NaN,NaN,15796.400390625,45997.0078125,14934.8173828125,205882.53125,NaN
A0A0C4DH24,IGKV6-21,Immunoglobulin kappa variable 6-21,4725.84423828125,NaN,9027.8828125,23520.181640625,NaN,4622.90966796875,34610.88671875,26629.625,62445.15625,26971.65234375,32753.3515625,16935.1796875,NaN,NaN,21239.130859375,NaN,NaN,NaN,1233.0654296875,13483.205078125,22881.041015625
A0A0C4DH25,IGKV3D-20,Immunoglobulin kappa variable 3D-20,849679,180312,395756.5,216205.4375,131210.734375,200075.15625,427983.96875,878556,505574.3125,370446.53125,345341.1875,1083216.5,81987.921875,195842.03125,308445.1875,143719.984375,131881.90625,316471.25,77013.8515625,315188.46875,339672.53125
A0A0C4DH29,IGHV1-3,Immunoglobulin heavy variable 1-3,230280.140625,NaN,73682.203125,NaN,NaN,NaN,NaN,98638.8984375,114627.03125,NaN,92483.828125,59710.4453125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A0C4DH31,IGHV1-18,Immunoglobulin heavy variable 1-18,1176874.875,31670.515625,457352.1875,243485.890625,39429.94140625,71680.859375,361417.65625,543364.75,1033551.6875,370911.84375,561994.6875,1651220,6796.83740234375,232878.875,318049.375,30753.908203125,231660.765625,204278.140625,52121.66015625,159913.390625,201838.65625
A0A0C4DH33,IGHV1-24,Immunoglobulin heavy variable 1-24,76035.9296875,NaN,NaN,4911.03662109375,NaN,NaN,NaN,7410.03369140625,NaN,NaN,9092.1044921875,1551.9937744140625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0A0C4DH34,IGHV4-28,Immunoglobulin heavy variable 4-28,6851.376953125,NaN,6518.01611328125,3832.02587890625,NaN,NaN,10421.90625,9197.2861328125,13025.4833984375,3130.755126953125,NaN,14478.81640625,1507.401611328125,5258.8173828125,946.762939453125,NaN,NaN,5508.16259765625,NaN,NaN,NaN
A0A0C4DH35,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,88229.7734375,NaN,20049.4609375,NaN,NaN,NaN,15097.3671875,32700.0078125,44766.1796875,NaN,10653.9365234375,111227.2890625,NaN,13229.6494140625,NaN,NaN,NaN,NaN,NaN,14218.9521484375,NaN
A0A0C4DH36,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,424738.96875,16390.12890625,133551.734375,NaN,43312.9453125,16608.67578125,47263.85546875,110692.5546875,114457.671875,48126.296875,124250.546875,229669.265625,8374.92578125,28524.458984375,57240.1875,28978.962890625,35156.4453125,102509.4921875,21920.59375,94234.234375,43813.86328125
A0A0C4DH38,IGHV5-51,Immunoglobulin heavy variable 5-51,879091.375,74988.890625,174589.375,225438.8125,77205.2890625,36160.3671875,148691.0625,174825.296875,265668.71875,49163.0390625,144556.125,518899.21875,22179.478515625,84265.828125,155915.5,38102.09375,47022.50390625,112325.8203125,22468.646484375,72894.265625,95500.1484375
A0A0C4DH43,IGHV2-70D,Immunoglobulin heavy variable 2-70D,1208726.875,99016.4140625,441749.28125,307895.53125,288065.46875,81728.5625,165251.5,516168.5625,878845.125,388831.5625,6714.23876953125,1373036.375,110097.203125,420052.4375,248088.421875,181371.171875,256204.3125,143856.9375,136932.453125,259752.15625,262665.3125
A0A0C4DH67,IGKV1-8,Immunoglobulin kappa variable 1-8,181251.515625,82158.203125,50090.91796875,38425.453125,5486.92724609375,14790.2080078125,79813.7890625,96154.6875,94306.34375,45035.875,66417.265625,307259.1875,14693.53515625,23856.470703125,44861.078125,20623.630859375,18882.66796875,43004.03515625,7494.4638671875,18932.966796875,29759.470703125
A0A0C4DH73;P01611,IGKV1-12;IGKV1D-12,Immunoglobulin kappa variable 1-12;Immunoglobulin kappa variable 1D-12,434409.09375,NaN,36636.3984375,22159.08203125,6814.68408203125,42418.82421875,89509.8125,130618.890625,175821.921875,41520.63671875,117716.0234375,191127.703125,88845.4375,40360.6015625,65154.62890625,NaN,26612.8515625,69818.2265625,8589.95703125,53116.625,NaN
A0A0J9YX35,IGHV3-64D,Immunoglobulin heavy variable 3-64D,143688.125,NaN,42107.60546875,8279.4296875,64375.60546875,NaN,70630.8515625,84269.03125,138348.796875,85208.3359375,114888.59375,200362.265625,NaN,11365.2919921875,47521.21484375,129727.59375,46998.43359375,NaN,44081.1015625,20181.912109375,31998.412109375
A0A0J9YXX1,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,984685.125,285686.875,438899.625,359266,210326.625,167241.3125,427704.0625,88302.875,755009.6875,626229.1875,512946.6875,760559.25,93413.78125,74231.4765625,246308.703125,198015.28125,95806.734375,39589.05078125,43424.68359375,NaN,35666.4765625
A0A1B0GVR7,FAM240C,Protein FAM240C,NaN,2301.94189453125,NaN,NaN,NaN,NaN,7305.67822265625,9656.966796875,1198.5107421875,5646.09521484375,3004.88720703125,NaN,NaN,13987.6953125,5691.85595703125,NaN,22715.08203125,NaN,8405.857421875,NaN,NaN
A0A5B9;P01850;P0DTU4,TRBC2;TRBC1;TRB,T cell receptor beta constant 2;T cell receptor beta constant 1;T cell receptor beta chain MC.7.G5,56213.40234375,NaN,4679.0595703125,183718.203125,NaN,NaN,24213.015625,53695.91015625,68223.75,1066.6446533203125,NaN,50928.17578125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,113276.859375,80691.046875,136593.21875,100601.15625,77567.109375,136455.265625,103379.859375,98513.9296875,104469.125,136049.375,79031.2109375,122103.0703125,110355.109375,109478.75,98563.984375,99590.9140625,99395.21875,63949.68359375,74794.171875,67258.1484375,73096.71875
A0FGR8,ESYT2,Extended synaptotagmin-2,288737.3125,193646.984375,212076.546875,224771.453125,221207.734375,149532.953125,156583.546875,236557.296875,205170.859375,289744.375,137839.328125,366303.59375,175969.921875,121175.7265625,133390.765625,184687.546875,138312.5625,103268.75,88954.8984375,107048.2734375,113093.6484375
A0JNW5,UHRF1BP1L,UHRF1-binding protein 1-like,4315.23291015625,1788.404541015625,4072.322998046875,2714.741455078125,4045.488037109375,2147.01123046875,1842.4271240234375,3260.94677734375,NaN,NaN,NaN,6882.40478515625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A0MZ66,SHTN1,Shootin-1,46222.90625,41043.77734375,7291.6533203125,2216.0439453125,728.8814086914062,2077.090576171875,8121.20654296875,13201.73828125,8277.8720703125,4538.67626953125,32482.91796875,NaN,11161.587890625,7471.330078125,4582.9560546875,31205.75,3505.120849609375,NaN,NaN,NaN,NaN
A1A4S6,ARHGAP10,Rho GTPase-activating protein 10,11539.7529296875,15977.2548828125,9666.173828125,11808.9638671875,9862.89453125,12276.9541015625,5548.673828125,10514.58203125,11288.8125,13156.0595703125,8898.025390625,23898.00390625,11722.2314453125,10344.6953125,11508.7470703125,3969.298583984375,8540.2509765625,9948.4931640625,9025.234375,13852.408203125,12837.8408203125
A1L0T0,ILVBL,2-hydroxyacyl-CoA lyase 2,71391.0078125,62766.94921875,60410.98828125,66939.0859375,93671.390625,48949.3359375,75682.265625,87302.8671875,50858.1328125,84561.9765625,53193.35546875,81589.6953125,57063.578125,57184.5078125,56164.08984375,73014.6796875,65373.48828125,45810.19921875,38997.546875,30641.955078125,28163.955078125
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,16055.26953125,7472.9892578125,6379.9091796875,12359.6162109375,2109.845458984375,6700.14013671875,2444.68115234375,10722.611328125,5091.5400390625,26478.1171875,1132.254150390625,77292.5078125,NaN,14661.9052734375,NaN,9046.009765625,4888.63330078125,NaN,NaN,NaN,NaN
A1L4K1,FSD2,Fibronectin type III and SPRY domain-containing protein 2,103713.546875,89480.3671875,33163.1640625,58006.00390625,91637.2421875,96049.953125,94633.28125,79842.0234375,42309.60546875,65636.3046875,96492.7890625,14100.716796875,97046.6484375,151592.421875,126745.2734375,108824.1484375,186195.28125,106362.734375,185771.765625,97405.296875,162354.40625
A1X283,SH3PXD2B,SH3 and PX domain-containing protein 2B,17876.64453125,13114.5166015625,31834.169921875,19282.2578125,16274.6875,11627.474609375,13492.548828125,24036.890625,19735.59375,44108.46484375,10157.9130859375,55437.03515625,8426.9052734375,4763.01220703125,13872.255859375,12816.052734375,7584.5966796875,7485.82177734375,4916.57470703125,6982.8427734375,4458.51025390625
A2A2Y4,FRMD3,FERM domain-containing protein 3,30272.970703125,38933.9609375,16453.84375,50805.5,84310.2734375,48149.4765625,42789.5234375,29653.50390625,24648.486328125,27503.625,52450.58984375,NaN,53423.8828125,115101.2578125,47647.546875,72823.28125,71647.703125,55262.91796875,73649.046875,113278,50447.7734375
A2NJV5,IGKV2-29,Immunoglobulin kappa variable 2-29,293903.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2PYH4,HFM1,Probable ATP-dependent DNA helicase HFM1,674817.625,4541.71435546875,893687.625,1702549.75,1486318.5,685959.75,1984400.5,900121.625,1197584.625,280331.15625,2894750,1721978.5,1126511.75,1187633,2479571,NaN,1649758,2040343.375,1249285.5,860773.4375,2053402.875
A2RRP1,NBAS,Neuroblastoma-amplified sequence,37527.390625,39723.84375,36210.5546875,43656.44921875,47979.16015625,36821.33203125,28209.279296875,33234.78125,33186.36328125,41051.54296875,34193.17578125,30215.486328125,37320.55859375,37978.96484375,33219.53515625,41013.7734375,28821.208984375,34505.91015625,34958.6875,35245.06640625,38613.0625
A2RTX5,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",46650.91796875,60636.51171875,45968.8828125,57196.75,82426.171875,76298.5859375,53796.1328125,40133.1953125,59409.48046875,45730.5546875,93145.234375,32739.7109375,57614.4609375,65259.12890625,72441.5625,46055.4921875,67417.3671875,66427.4453125,104026.9921875,74920.2890625,54937.5078125
A2RUB1,MEIOC,Meiosis-specific coiled-coil domain-containing protein MEIOC,26392800,89186272,5467023,25379242,63137728,74079912,17184710,10156191,23116472,16178102,46972296,4502764,31151480,64630004,39079104,32595958,87849976,47108848,72180504,118746976,66475004
A2RUH7,MYBPHL,Myosin-binding protein H-like,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30180.96875,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2RUS2,DENND3,DENN domain-containing protein 3,635.6568603515625,NaN,NaN,NaN,NaN,883.4810791015625,1.6721885204315186,NaN,NaN,2105.4677734375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A3KMH1,VWA8,von Willebrand factor A domain-containing protein 8,30165.90234375,46508.296875,26378.88671875,29027.990234375,59574.0390625,23978.341796875,39813.83203125,31067.54296875,30975.4609375,26798.556640625,46554.33203125,18480.55859375,44403.53125,30432.994140625,32900.89453125,46671.95703125,35556.09375,37551.7890625,49863.96484375,23133.583984375,34931.3671875
A4D126,CRPPA,D-ribitol-5-phosphate cytidylyltransferase,3729.120849609375,NaN,4833.5400390625,3808.767822265625,NaN,9067.66796875,NaN,4641.70849609375,NaN,NaN,3318.126953125,NaN,NaN,NaN,3814.899169921875,NaN,15349.763671875,6097.68115234375,NaN,NaN,NaN
A4D1E9,GTPBP10,GTP-binding protein 10,9006.939453125,11092.8310546875,13934.8935546875,19153.775390625,13509.0380859375,12448.2353515625,15832.1201171875,8546.0498046875,14010.287109375,11624.716796875,NaN,10421.9931640625,NaN,NaN,11154.5322265625,9684.0048828125,15012.2529296875,8129.44287109375,8297.1298828125,NaN,NaN
A4D1P6,WDR91,WD repeat-containing protein 91,25227.55859375,14866.841796875,35295.63671875,34027.3671875,17074.376953125,15400.3369140625,20760.9453125,30050.92578125,22119.54296875,29530.39453125,17701.076171875,55708.390625,18349.966796875,11684.3984375,18474.423828125,14680.1376953125,11608.208984375,14831.6240234375,8732.8623046875,17331.744140625,9072.4541015625
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2,138401.34375,107283,441802.625,162351.84375,112869.7109375,96039.828125,272772.8125,277463.59375,124815.28125,187885.21875,98673.359375,154576.484375,165865.328125,153257.140625,119270.4375,145709.546875,68372.4453125,37418.96484375,74066.0390625,47101.125,54364.734375
A5A3E0,POTEF,POTE ankyrin domain family member F,14504.6025390625,21032.6484375,15563.19140625,15142.4287109375,7606.4853515625,27244.923828125,32107.341796875,12797.994140625,15268.09375,10880.1201171875,12599.6640625,13525.462890625,14389.384765625,48178.08203125,31017.044921875,28032.400390625,68139.203125,55693.578125,59438.1640625,46961.45703125,99944.6171875
A5D6W6,FITM1,Fat storage-inducing transmembrane protein 1,398041.21875,336202.65625,223768.09375,311349.34375,385223.46875,470518.71875,298052.46875,344806.28125,292438.65625,273236.59375,290353.46875,123302.734375,333827.125,573212.4375,315640.875,390682.125,608482.5,296799.84375,345410.5625,608076.9375,490867.75
A5PLN9,TRAPPC13,Trafficking protein particle complex subunit 13,8415.6513671875,25431.6484375,20381.625,11840.9287109375,6567.1591796875,13652.7568359375,8009.5,14539.818359375,13647.0048828125,17021.30078125,13628.1943359375,15239.25,15899.8564453125,10429.345703125,14362.0556640625,16951.640625,14079.7158203125,11950.810546875,7517.82666015625,NaN,12539.345703125
A5YKK6,CNOT1,CCR4-NOT transcription complex subunit 1,21379.74609375,16201.533203125,24675.8125,16003.958984375,18748.6875,16373.2998046875,16661.87109375,21133.822265625,19815.2265625,30140.193359375,11473.857421875,26105.212890625,17219.33984375,11984.7919921875,10431.79296875,15842.876953125,8694.6376953125,9091.205078125,9051.0087890625,7891.7890625,9587.2431640625
A5YM72,CARNS1,Carnosine synthase 1,162037.171875,218080.25,164166.609375,113651.328125,223792.484375,114616.2265625,65885.9765625,109599.3046875,114887.015625,255588.828125,92740.9765625,97304.734375,169425,79204.7734375,86700.515625,185920.734375,179275.515625,108255.8359375,102869.375,53877.671875,96972.140625
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B,143830.1875,140247.765625,221319.453125,133321.21875,123025.1484375,123533.2890625,162869.890625,207703.234375,178426.5,196538.9375,165233.484375,291175.625,178155.703125,204350.578125,148660.90625,136316.03125,163617.1875,198994.59375,183542.765625,156752.8125,143128.59375
A6NCF5,KLHL33,Kelch-like protein 33,7629.4052734375,8095.68798828125,3062.835205078125,10099.1787109375,10744.9755859375,9309.361328125,2798.505126953125,4809.02685546875,7128.3466796875,NaN,7645.55712890625,NaN,6469.94482421875,6777.54052734375,7260.49365234375,8100.4912109375,11532.083984375,9866.193359375,11565.451171875,10655.1298828125,13330.2294921875
A6NDG6,PGP,Glycerol-3-phosphate phosphatase,258415.84375,286679.09375,187600.140625,116361.859375,144416.53125,355444.5,255345.84375,180473.640625,200876.75,156842.28125,203061.875,124297.421875,211814.875,407767.03125,145082.4375,298219.09375,479823.6875,376656.25,549567.625,268073.6875,397874.40625
