ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0061695	GO:0061695	transferase complex, transferring phosphorus-containing groups	1/27	73/5170	0.319502246232856	0.645148766431727	0.58208911256998	PFKFB1	1	go_cc
GO:0005912	GO:0005912	adherens junction	1/27	75/5170	0.326693365845553	0.647222705920436	0.583960336168814	PARK7	1	go_cc
GO:0042383	GO:0042383	sarcolemma	1/27	80/5170	0.34435245537675	0.669574218788125	0.604127114696053	PPP3CB	1	go_cc
GO:0005815	GO:0005815	microtubule organizing center	2/27	242/5170	0.362746776683838	0.690614278285717	0.623110627024707	NEK7/MYH16	2	go_cc
GO:0070820	GO:0070820	tertiary granule	1/27	87/5170	0.368327615085716	0.690614278285717	0.623110627024707	ALDOA	1	go_cc
GO:0030018	GO:0030018	Z disc	1/27	96/5170	0.397914667862356	0.715373046370589	0.645449365146396	PPP3CB	1	go_cc
GO:0045202	GO:0045202	synapse	3/27	444/5170	0.412811233064704	0.715373046370589	0.645449365146396	PPP3CB/PARK7/MYLK2	3	go_cc
GO:1902495	GO:1902495	transmembrane transporter complex	1/27	101/5170	0.413770492299432	0.715373046370589	0.645449365146396	UQCRC1	1	go_cc
GO:0098800	GO:0098800	inner mitochondrial membrane protein complex	1/27	103/5170	0.419999569266062	0.715373046370589	0.645449365146396	UQCRC1	1	go_cc
GO:1904813	GO:1904813	ficolin-1-rich granule lumen	1/27	104/5170	0.423090157706918	0.715373046370589	0.645449365146396	ALDOA	1	go_cc
GO:0005740	GO:0005740	mitochondrial envelope	3/27	452/5170	0.424418253554801	0.715373046370589	0.645449365146396	UQCRC1/PARK7/BCL2	3	go_cc
GO:1990351	GO:1990351	transporter complex	1/27	106/5170	0.429223827822353	0.715373046370589	0.645449365146396	UQCRC1	1	go_cc
GO:0072562	GO:0072562	blood microparticle	1/27	110/5170	0.441303320175058	0.722481374071539	0.651862893899133	POTEF	1	go_cc
GO:0098978	GO:0098978	glutamatergic synapse	1/27	112/5170	0.447250374425238	0.722481374071539	0.651862893899133	PPP3CB	1	go_cc
GO:0005741	GO:0005741	mitochondrial outer membrane	1/27	117/5170	0.461852523776978	0.734765378736102	0.662946206378438	BCL2	1	go_cc
GO:0009897	GO:0009897	external side of plasma membrane	1/27	122/5170	0.476082846266497	0.739454929634126	0.667177380121016	CD84	1	go_cc
GO:0019898	GO:0019898	extrinsic component of membrane	1/27	123/5170	0.478885097286863	0.739454929634126	0.667177380121016	MUC16	1	go_cc
GO:0019867	GO:0019867	outer membrane	1/27	129/5170	0.495397938660493	0.740604004362371	0.668214139274319	BCL2	1	go_cc
GO:0031968	GO:0031968	organelle outer membrane	1/27	129/5170	0.495397938660493	0.740604004362371	0.668214139274319	BCL2	1	go_cc
GO:0101002	GO:0101002	ficolin-1-rich granule	1/27	131/5170	0.500789374378365	0.740604004362371	0.668214139274319	ALDOA	1	go_cc
GO:0098793	GO:0098793	presynapse	1/27	143/5170	0.531991675408448	0.768809060087678	0.693662309853544	PARK7	1	go_cc
GO:0031965	GO:0031965	nuclear membrane	1/27	144/5170	0.534505346537148	0.768809060087678	0.693662309853544	BCL2	1	go_cc
GO:0005819	GO:0005819	spindle	1/27	150/5170	0.549316553900369	0.779435650804578	0.703250211252251	NEK7	1	go_cc
GO:0005938	GO:0005938	cell cortex	1/27	160/5170	0.572998877422367	0.802198428391314	0.723788055691411	POTEF	1	go_cc
GO:0005874	GO:0005874	microtubule	1/27	164/5170	0.582132261717905	0.804261677373421	0.72564963372038	NEK7	1	go_cc
GO:0044297	GO:0044297	cell body	1/27	168/5170	0.591077372678869	0.806014599107548	0.727231217239893	PARK7	1	go_cc
GO:0005694	GO:0005694	chromosome	2/27	385/5170	0.608079004158648	0.817054018206235	0.737191595374047	PARK7/KLHDC3	2	go_cc
GO:0005813	GO:0005813	centrosome	1/27	179/5170	0.614735880364691	0.817054018206235	0.737191595374047	MYH16	1	go_cc
GO:0070161	GO:0070161	anchoring junction	2/27	423/5170	0.660873955272174	0.839784630529404	0.757700418522771	PARK7/MYH1	2	go_cc
GO:0031966	GO:0031966	mitochondrial membrane	2/27	425/5170	0.663498526635821	0.839784630529404	0.757700418522771	UQCRC1/BCL2	2	go_cc
GO:0098798	GO:0098798	mitochondrial protein-containing complex	1/27	205/5170	0.665532831112984	0.839784630529404	0.757700418522771	UQCRC1	1	go_cc
GO:0030424	GO:0030424	axon	1/27	209/5170	0.672751281796306	0.839784630529404	0.757700418522771	PARK7	1	go_cc
GO:0015630	GO:0015630	microtubule cytoskeleton	2/27	444/5170	0.68767113712044	0.839784630529404	0.757700418522771	NEK7/MYH16	2	go_cc
GO:0005887	GO:0005887	integral component of plasma membrane	1/27	223/5170	0.696853097612886	0.839784630529404	0.757700418522771	CD84	1	go_cc
GO:0098552	GO:0098552	side of membrane	1/27	224/5170	0.698507628917607	0.839784630529404	0.757700418522771	CD84	1	go_cc
GO:0034774	GO:0034774	secretory granule lumen	1/27	230/5170	0.70825370087607	0.839784630529404	0.757700418522771	ALDOA	1	go_cc
GO:0060205	GO:0060205	cytoplasmic vesicle lumen	1/27	231/5170	0.709848265668853	0.839784630529404	0.757700418522771	ALDOA	1	go_cc
GO:0031983	GO:0031983	vesicle lumen	1/27	233/5170	0.713012255315624	0.839784630529404	0.757700418522771	ALDOA	1	go_cc
GO:0005635	GO:0005635	nuclear envelope	1/27	240/5170	0.723826668837746	0.839784630529404	0.757700418522771	BCL2	1	go_cc
GO:0031226	GO:0031226	intrinsic component of plasma membrane	1/27	244/5170	0.729829005012955	0.839784630529404	0.757700418522771	CD84	1	go_cc
GO:0009986	GO:0009986	cell surface	1/27	253/5170	0.742878438315035	0.839784630529404	0.757700418522771	CD84	1	go_cc
GO:0098796	GO:0098796	membrane protein complex	2/27	493/5170	0.743809244183187	0.839784630529404	0.757700418522771	UQCRC1/BCL2	2	go_cc
GO:0099513	GO:0099513	polymeric cytoskeletal fiber	1/27	274/5170	0.77100950040415	0.86123401640889	0.777053247887721	NEK7	1	go_cc
GO:0005743	GO:0005743	mitochondrial inner membrane	1/27	302/5170	0.803941777479512	0.881732673781106	0.795548277095734	UQCRC1	1	go_cc
GO:0016604	GO:0016604	nuclear body	1/27	306/5170	0.808256731408137	0.881732673781106	0.795548277095734	PARK7	1	go_cc
GO:0048471	GO:0048471	perinuclear region of cytoplasm	1/27	319/5170	0.821657866064254	0.881732673781106	0.795548277095734	PARK7	1	go_cc
GO:0005759	GO:0005759	mitochondrial matrix	1/27	328/5170	0.830402237132697	0.881732673781106	0.795548277095734	PARK7	1	go_cc
GO:0019866	GO:0019866	organelle inner membrane	1/27	329/5170	0.831347949565042	0.881732673781106	0.795548277095734	UQCRC1	1	go_cc
GO:0043005	GO:0043005	neuron projection	1/27	392/5170	0.881703036998976	0.925788188848925	0.83529761399903	PARK7	1	go_cc
GO:0030141	GO:0030141	secretory granule	1/27	432/5170	0.905784178024951	0.925966741018298	0.83545871370072	ALDOA	1	go_cc
GO:0005789	GO:0005789	endoplasmic reticulum membrane	1/27	461/5170	0.92021282660225	0.925966741018298	0.83545871370072	BCL2	1	go_cc
GO:0098827	GO:0098827	endoplasmic reticulum subcompartment	1/27	464/5170	0.921577688258338	0.925966741018298	0.83545871370072	BCL2	1	go_cc
GO:0099503	GO:0099503	secretory vesicle	1/27	468/5170	0.923362569907208	0.925966741018298	0.83545871370072	ALDOA	1	go_cc
GO:0042175	GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1/27	474/5170	0.925966741018298	0.925966741018298	0.83545871370072	BCL2	1	go_cc
GO:0006091	GO:0006091	generation of precursor metabolites and energy	8/26	289/5037	6.71522809881334e-05	0.0216941576023387	0.0203307450770307	UQCRC1/ADSL/PARK7/GPD1/PGK1/ALDOA/PFKFB1/QDPR	8	go_bp
GO:0006096	GO:0006096	glycolytic process	4/26	46/5037	7.86037609806589e-05	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0006757	GO:0006757	ATP generation from ADP	4/26	46/5037	7.86037609806589e-05	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0046031	GO:0046031	ADP metabolic process	4/26	51/5037	0.000118281666858161	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0046034	GO:0046034	ATP metabolic process	6/26	161/5037	0.00013149623341633	0.0216941576023387	0.0203307450770307	UQCRC1/PARK7/GPD1/PGK1/ALDOA/PFKFB1	6	go_bp
GO:0006165	GO:0006165	nucleoside diphosphate phosphorylation	4/26	54/5037	0.000148120695383678	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0046939	GO:0046939	nucleotide phosphorylation	4/26	55/5037	0.000159179001418673	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0006936	GO:0006936	muscle contraction	6/26	168/5037	0.000166341466408442	0.0216941576023387	0.0203307450770307	ALDOA/MYLK2/MYH1/MYH13/TNNC2/MYBPC2	6	go_bp
GO:0009135	GO:0009135	purine nucleoside diphosphate metabolic process	4/26	57/5037	0.000183073059935347	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0009179	GO:0009179	purine ribonucleoside diphosphate metabolic process	4/26	57/5037	0.000183073059935347	0.0216941576023387	0.0203307450770307	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0009185	GO:0009185	ribonucleoside diphosphate metabolic process	4/26	64/5037	0.000287335439725838	0.0309538632795562	0.0290085061158622	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0006090	GO:0006090	pyruvate metabolic process	4/26	66/5037	0.000323653056931314	0.0319607393719673	0.0299521030756611	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0009132	GO:0009132	nucleoside diphosphate metabolic process	4/26	71/5037	0.000428748845084776	0.0390821062634969	0.0366259134869991	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0003012	GO:0003012	muscle system process	6/26	205/5037	0.000490905940220855	0.0400515311007488	0.0375344128903309	ALDOA/MYLK2/MYH1/MYH13/TNNC2/MYBPC2	6	go_bp
GO:0055086	GO:0055086	nucleobase-containing small molecule metabolic process	7/26	291/5037	0.000506981406338593	0.0400515311007488	0.0375344128903309	ADSL/PARK7/GPD1/PGK1/ALDOA/PFKFB1/APOBEC3C	7	go_bp
GO:0042594	GO:0042594	response to starvation	4/26	77/5037	0.000584722140103232	0.0433059835013956	0.0405843327505862	ADSL/PFKFB1/MYH13/BCL2	4	go_bp
GO:0016052	GO:0016052	carbohydrate catabolic process	4/26	79/5037	0.000644662981825615	0.0449368019684325	0.0421126591842739	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:1901135	GO:1901135	carbohydrate derivative metabolic process	8/26	405/5037	0.000697690361414987	0.0459312821264867	0.0430446392568896	ADSL/PARK7/GPD1/PGK1/ALDOA/PFKFB1/APOBEC3C/BCL2	8	go_bp
GO:0006094	GO:0006094	gluconeogenesis	3/26	37/5037	0.000844626465153051	0.0526780190108613	0.0493673640297212	GPD1/PGK1/PFKFB1	3	go_bp
GO:0019319	GO:0019319	hexose biosynthetic process	3/26	39/5037	0.000986662525011156	0.058459754606911	0.0547857349414089	GPD1/PGK1/PFKFB1	3	go_bp
GO:0009072	GO:0009072	aromatic amino acid family metabolic process	2/26	10/5037	0.00112413814203815	0.0634335094435811	0.0594469042531451	PARK7/QDPR	2	go_bp
GO:0046364	GO:0046364	monosaccharide biosynthetic process	3/26	43/5037	0.00131423899407307	0.0690738760089897	0.0647327907523732	GPD1/PGK1/PFKFB1	3	go_bp
GO:0009117	GO:0009117	nucleotide metabolic process	6/26	249/5037	0.00137016617542448	0.0690738760089897	0.0647327907523732	ADSL/PARK7/GPD1/PGK1/ALDOA/PFKFB1	6	go_bp
GO:0006753	GO:0006753	nucleoside phosphate metabolic process	6/26	250/5037	0.00139896457739726	0.0690738760089897	0.0647327907523732	ADSL/PARK7/GPD1/PGK1/ALDOA/PFKFB1	6	go_bp
GO:0043029	GO:0043029	T cell homeostasis	2/26	12/5037	0.0016382963678162	0.0776552478344877	0.0727748491808879	PPP3CB/BCL2	2	go_bp
GO:0009150	GO:0009150	purine ribonucleotide metabolic process	5/26	190/5037	0.00249615846786668	0.11376722247777	0.106617294882565	ADSL/GPD1/PGK1/ALDOA/PFKFB1	5	go_bp
GO:0009259	GO:0009259	ribonucleotide metabolic process	5/26	199/5037	0.00305525920840792	0.13409193192457	0.125664657499819	ADSL/GPD1/PGK1/ALDOA/PFKFB1	5	go_bp
GO:0006163	GO:0006163	purine nucleotide metabolic process	5/26	201/5037	0.00319096700395542	0.135046282131685	0.126559029668157	ADSL/GPD1/PGK1/ALDOA/PFKFB1	5	go_bp
GO:2000378	GO:2000378	negative regulation of reactive oxygen species metabolic process	2/26	17/5037	0.00332274504015256	0.135774236985544	0.127241234749944	PARK7/BCL2	2	go_bp
GO:0019693	GO:0019693	ribose phosphate metabolic process	5/26	207/5037	0.00362446859581088	0.139218587046328	0.130469117773818	ADSL/GPD1/PGK1/ALDOA/PFKFB1	5	go_bp
GO:0019318	GO:0019318	hexose metabolic process	4/26	126/5037	0.00364200523074781	0.139218587046328	0.130469117773818	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0072521	GO:0072521	purine-containing compound metabolic process	5/26	216/5037	0.00435277146022795	0.161188568136566	0.151058351662516	ADSL/GPD1/PGK1/ALDOA/PFKFB1	5	go_bp
GO:0002704	GO:0002704	negative regulation of leukocyte mediated immunity	2/26	20/5037	0.00459813497226925	0.162604257544264	0.152385069250898	PPP3CB/CD84	2	go_bp
GO:0005996	GO:0005996	monosaccharide metabolic process	4/26	135/5037	0.00466543861308436	0.162604257544264	0.152385069250898	GPD1/PGK1/ALDOA/PFKFB1	4	go_bp
GO:0002260	GO:0002260	lymphocyte homeostasis	2/26	22/5037	0.0055550573797348	0.188078371285307	0.1762582115976	PPP3CB/BCL2	2	go_bp
GO:0045333	GO:0045333	cellular respiration	4/26	148/5037	0.00646448287024109	0.212789227812102	0.19941606514925	UQCRC1/ADSL/PARK7/GPD1	4	go_bp
GO:0001776	GO:0001776	leukocyte homeostasis	2/26	25/5037	0.00714616761656755	0.228870503395474	0.214486680952454	PPP3CB/BCL2	2	go_bp
GO:0070059	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	2/26	26/5037	0.0077172247812078	0.228960733275846	0.214571240156356	PARK7/BCL2	2	go_bp
GO:0044283	GO:0044283	small molecule biosynthetic process	5/26	248/5037	0.00780435371980194	0.228960733275846	0.214571240156356	PARK7/GPD1/PGK1/PFKFB1/QDPR	5	go_bp
GO:0031667	GO:0031667	response to nutrient levels	4/26	157/5037	0.00795074911150829	0.228960733275846	0.214571240156356	ADSL/PFKFB1/MYH13/BCL2	4	go_bp
GO:0016051	GO:0016051	carbohydrate biosynthetic process	3/26	81/5037	0.00797978184622005	0.228960733275846	0.214571240156356	GPD1/PGK1/PFKFB1	3	go_bp
GO:0018958	GO:0018958	phenol-containing compound metabolic process	2/26	27/5037	0.00830827977287881	0.228960733275846	0.214571240156356	PARK7/BCL2	2	go_bp
GO:0051899	GO:0051899	membrane depolarization	2/26	27/5037	0.00830827977287881	0.228960733275846	0.214571240156356	PARK7/BCL2	2	go_bp
GO:0008631	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	2/26	29/5037	0.00954956370653392	0.248359551243863	0.232750900788164	PARK7/BCL2	2	go_bp
GO:0014823	GO:0014823	response to activity	2/26	29/5037	0.00954956370653392	0.248359551243863	0.232750900788164	UQCRC1/ADSL	2	go_bp
GO:0006941	GO:0006941	striated muscle contraction	3/26	87/5037	0.00971272002678987	0.248359551243863	0.232750900788164	ALDOA/MYLK2/TNNC2	3	go_bp
GO:0009991	GO:0009991	response to extracellular stimulus	4/26	167/5037	0.00985054760207727	0.248359551243863	0.232750900788164	ADSL/PFKFB1/MYH13/BCL2	4	go_bp
GO:0051591	GO:0051591	response to cAMP	2/26	31/5037	0.0108683947544133	0.268313495499577	0.251450799690921	GPD1/PFKFB1	2	go_bp
GO:0051881	GO:0051881	regulation of mitochondrial membrane potential	2/26	32/5037	0.0115563889935606	0.279475937905495	0.261911716180588	PARK7/BCL2	2	go_bp
GO:0007338	GO:0007338	single fertilization	2/26	33/5037	0.0122631711002678	0.290637155076347	0.272371484437527	PARK7/ALDOA	2	go_bp
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	5/26	281/5037	0.0130330397382695	0.302826511565674	0.283794776550554	PARK7/GPD1/PGK1/ALDOA/PFKFB1	5	go_bp
GO:0033138	GO:0033138	positive regulation of peptidyl-serine phosphorylation	2/26	35/5037	0.0137323135045404	0.309621236035369	0.290162473033368	PARK7/BCL2	2	go_bp
GO:0002698	GO:0002698	negative regulation of immune effector process	2/26	36/5037	0.0144942845736895	0.309621236035369	0.290162473033368	PPP3CB/CD84	2	go_bp
GO:0060249	GO:0060249	anatomical structure homeostasis	3/26	101/5037	0.0145596301518077	0.309621236035369	0.290162473033368	ALDOA/POTEF/BCL2	3	go_bp
GO:0001666	GO:0001666	response to hypoxia	3/26	102/5037	0.0149498599199044	0.309621236035369	0.290162473033368	ADSL/PGK1/BCL2	3	go_bp
GO:0015980	GO:0015980	energy derivation by oxidation of organic compounds	4/26	191/5037	0.0155663815914257	0.309621236035369	0.290162473033368	UQCRC1/ADSL/PARK7/GPD1	4	go_bp
GO:0008625	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	2/26	38/5037	0.016072063720742	0.309621236035369	0.290162473033368	PARK7/BCL2	2	go_bp
GO:0022900	GO:0022900	electron transport chain	3/26	105/5037	0.0161562946923038	0.309621236035369	0.290162473033368	PARK7/GPD1/QDPR	3	go_bp
GO:0006006	GO:0006006	glucose metabolic process	3/26	108/5037	0.0174165853011093	0.309621236035369	0.290162473033368	GPD1/PGK1/PFKFB1	3	go_bp
GO:0036293	GO:0036293	response to decreased oxygen levels	3/26	108/5037	0.0174165853011093	0.309621236035369	0.290162473033368	ADSL/PGK1/BCL2	3	go_bp
GO:1901615	GO:1901615	organic hydroxy compound metabolic process	4/26	199/5037	0.0178586834300594	0.309621236035369	0.290162473033368	PARK7/GPD1/QDPR/BCL2	4	go_bp
GO:0009566	GO:0009566	fertilization	2/26	41/5037	0.0185704777284315	0.309621236035369	0.290162473033368	PARK7/ALDOA	2	go_bp
GO:0034308	GO:0034308	primary alcohol metabolic process	2/26	41/5037	0.0185704777284315	0.309621236035369	0.290162473033368	PARK7/GPD1	2	go_bp
GO:0036473	GO:0036473	cell death in response to oxidative stress	2/26	42/5037	0.0194376646622932	0.309621236035369	0.290162473033368	PARK7/BCL2	2	go_bp
GO:0045069	GO:0045069	regulation of viral genome replication	2/26	42/5037	0.0194376646622932	0.309621236035369	0.290162473033368	APOBEC3C/BCL2	2	go_bp
GO:2001237	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	2/26	42/5037	0.0194376646622932	0.309621236035369	0.290162473033368	PARK7/BCL2	2	go_bp
GO:0046683	GO:0046683	response to organophosphorus	2/26	43/5037	0.0203217342070844	0.309621236035369	0.290162473033368	GPD1/PFKFB1	2	go_bp
GO:0019637	GO:0019637	organophosphate metabolic process	6/26	435/5037	0.0207814841493082	0.309621236035369	0.290162473033368	ADSL/PARK7/GPD1/PGK1/ALDOA/PFKFB1	6	go_bp
GO:0062012	GO:0062012	regulation of small molecule metabolic process	3/26	116/5037	0.0210425188620508	0.309621236035369	0.290162473033368	PARK7/GPD1/PFKFB1	3	go_bp
GO:0071456	GO:0071456	cellular response to hypoxia	2/26	44/5037	0.0212225032366691	0.309621236035369	0.290162473033368	PGK1/BCL2	2	go_bp
