ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0012506	GO:0012506	vesicle membrane	85/584	472/5170	3.73450691136144e-06	0.000124945383516513	9.90072432975767e-05	HLA-DQB1/GBP1/KCNAB2/VAMP8/TMEM165/HLA-F/RAB27A/ADGRE5/HLA-C/GIMAP5/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/CORO1A/STK10/RAC2/HLA-A/TAPBP/HLA-DRA/HVCN1/NECAP2/CD163/B2M/PTPRC/CYBB/CD14/LGALS3/IQGAP2/MRC1/PLD3/CD44/RCC2/FCGRT/IQGAP1/PML/EPN1/AP2S1/SNX4/RAB35/SH3KBP1/RMC1/CYBA/DIPK2A/ANTXR2/VPS33B/CKAP4/MYO1B/RAB8B/RHOG/ARRB1/AP2A2/CD47/SNX1/TM9SF2/ITPR1/EHD4/AP2M1/CLIC4/LAMP1/PIK3C3/ARHGAP1/HMOX2/EHD1/AP3B1/IGF2R/CLTC/ANKFY1/COPB2/COPA/CALR/DIAPH1/PDIA3/NCSTN/STX7/AP1B1/EHD3/SNX2/ARF6/DENND4C/SCARB2/SEC31A/EEA1/SCAMP3	85	go_cc
GO:0016604	GO:0016604	nuclear body	61/584	306/5170	3.8958471475082e-06	0.000124945383516513	9.90072432975767e-05	IL16/TAP2/CHTOP/NCOR2/TRIM16/ZC3H13/IFI16/ISG20/CPSF6/NOP10/DDX46/RAPH1/PML/SH3BGRL3/DKC1/ASCC3/CKAP4/NOLC1/PPP4R3A/EWSR1/SAFB2/RAB8B/ARRB1/SART1/TP53BP1/TERF2/SRSF2/FBL/SF3B2/RNPS1/PRPF19/THRAP3/FBLL1/NUDT21/PRPF40A/SRRT/SRRM1/SNW1/PRPF6/SNRPA1/RBM25/SFPQ/CDC5L/PABPN1/LUC7L2/SRSF7/DHX15/DGKZ/SART3/EIF4A3/NOP58/GAR1/SNRNP40/MTREX/ALYREF/IK/CIITA/TCERG1/API5/PRPF8/SF3B1	61	go_cc
GO:0098576	GO:0098576	lumenal side of membrane	11/584	22/5170	7.63630325707629e-06	0.000221517033254907	0.000175531021545325	HLA-DQB1/HLA-F/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/TAPBP/HLA-DRA/HM13/CALR	11	go_cc
GO:0030027	GO:0030027	lamellipodium	30/584	116/5170	7.89370274405013e-06	0.000221517033254907	0.000175531021545325	EVL/ABI3/CORO1A/RAC2/IQGAP2/CD44/GIT1/RAPH1/SRGAP2/ABLIM1/CAPG/CORO1B/ACTR2/ARPC2/WASF2/ACTR3/CYFIP1/SNX1/DBN1/GSN/ARPC3/ITSN1/VASP/CDC42BPB/CTTN/DGKZ/ABLIM3/SNX2/ARHGEF7/ENAH	30	go_cc
GO:0030662	GO:0030662	coated vesicle membrane	24/584	85/5170	1.31106462090966e-05	0.000346275302816729	0.000274389994964376	HLA-DQB1/VAMP8/HLA-F/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/HLA-DRA/NECAP2/B2M/EPN1/AP2S1/RAB35/DIPK2A/AP2A2/AP2M1/AP3B1/IGF2R/CLTC/COPB2/COPA/SCARB2/SEC31A	24	go_cc
GO:0070161	GO:0070161	anchoring junction	76/584	423/5170	1.42745936772395e-05	0.000356071808948919	0.0002821527873045	IL16/EVL/ADGRE5/GAK/CORO1A/RAC2/LCP1/B2M/PTPRC/TNS3/TMOD3/RPL3/ICAM1/ARPC1B/LAP3/TES/S100A11/CD44/GIT1/MYADM/CNN3/CAPN5/IQGAP1/CAP1/SH3KBP1/CYBA/EPB41L3/CDC42EP4/PPIB/DDX58/CORO1B/MRC2/ACTR2/ARPC2/TPM4/RHOG/ADD3/EZR/FERMT3/XIRP2/WASF2/CSK/MSN/ACTR3/CYFIP1/DBN1/CLIC4/CASK/HSP90B1/GSN/ARPC3/CD2AP/YWHAQ/IGF2R/PLPP3/HYOU1/NIBAN2/VASP/CLTC/TNKS1BP1/CDC42BPB/CTTN/CALR/ARL2/PDIA3/NCSTN/LMO7/EHD3/JAK1/ARF6/ARHGEF7/GNA13/SCARB2/RPL22/ENAH/OBSL1	76	go_cc
GO:0005732	GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	9/584	16/5170	1.55107162594833e-05	0.000366542715816211	0.000290449977601405	NOP10/DKC1/NOLC1/FBL/FBLL1/NOP56/NOP58/GAR1/SNRNP40	9	go_cc
GO:0030669	GO:0030669	clathrin-coated endocytic vesicle membrane	12/584	28/5170	2.12449710935101e-05	0.000476949601049302	0.000377936854189811	HLA-DQB1/VAMP8/HLA-DRB1/HLA-DPA1/HLA-DRA/AP2S1/RAB35/AP2A2/AP2M1/IGF2R/CLTC/SCARB2	12	go_cc
GO:0016607	GO:0016607	nuclear speck	39/584	178/5170	2.64103257533304e-05	0.000564677917297398	0.000447453138076475	IL16/TAP2/CHTOP/ZC3H13/IFI16/CPSF6/DDX46/ASCC3/CKAP4/PPP4R3A/SART1/SRSF2/SF3B2/RNPS1/PRPF19/THRAP3/PRPF40A/SRRM1/SNW1/PRPF6/SNRPA1/RBM25/SFPQ/CDC5L/PABPN1/LUC7L2/SRSF7/DHX15/DGKZ/SART3/EIF4A3/SNRNP40/MTREX/ALYREF/IK/TCERG1/API5/PRPF8/SF3B1	39	go_cc
GO:0030055	GO:0030055	cell-substrate junction	58/584	305/5170	3.03360272177382e-05	0.000600318770706935	0.000475695099048046	IL16/EVL/ADGRE5/GAK/RAC2/LCP1/B2M/PTPRC/TNS3/RPL3/ICAM1/ARPC1B/LAP3/TES/CD44/GIT1/CNN3/CAPN5/IQGAP1/CAP1/SH3KBP1/CYBA/PPIB/CORO1B/MRC2/ACTR2/ARPC2/TPM4/RHOG/EZR/FERMT3/XIRP2/MSN/ACTR3/CYFIP1/CASK/HSP90B1/GSN/ARPC3/YWHAQ/IGF2R/HYOU1/VASP/CLTC/CTTN/CALR/ARL2/PDIA3/NCSTN/LMO7/EHD3/JAK1/ARF6/ARHGEF7/GNA13/SCARB2/RPL22/ENAH	58	go_cc
GO:0010008	GO:0010008	endosome membrane	47/584	231/5170	3.09310001394524e-05	0.000600318770706935	0.000475695099048046	HLA-DQB1/VAMP8/TMEM165/HLA-F/RAB27A/HLA-C/GIMAP5/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/HLA-DRA/B2M/CD14/MRC1/PLD3/RCC2/FCGRT/PML/AP2S1/SNX4/RAB35/RMC1/ANTXR2/VPS33B/MYO1B/RAB8B/AP2A2/SNX1/TM9SF2/EHD4/AP2M1/LAMP1/ARHGAP1/EHD1/IGF2R/CLTC/ANKFY1/PDIA3/NCSTN/STX7/EHD3/SNX2/ARF6/SCARB2/EEA1/SCAMP3	47	go_cc
GO:0005925	GO:0005925	focal adhesion	57/584	299/5170	3.30962275204297e-05	0.000600318770706935	0.000475695099048046	IL16/EVL/ADGRE5/GAK/RAC2/LCP1/B2M/PTPRC/TNS3/RPL3/ICAM1/ARPC1B/LAP3/TES/CD44/GIT1/CNN3/CAPN5/IQGAP1/CAP1/SH3KBP1/CYBA/PPIB/CORO1B/MRC2/ACTR2/ARPC2/TPM4/RHOG/EZR/XIRP2/MSN/ACTR3/CYFIP1/CASK/HSP90B1/GSN/ARPC3/YWHAQ/IGF2R/HYOU1/VASP/CLTC/CTTN/CALR/ARL2/PDIA3/NCSTN/LMO7/EHD3/JAK1/ARF6/ARHGEF7/GNA13/SCARB2/RPL22/ENAH	57	go_cc
GO:0005730	GO:0005730	nucleolus	70/584	390/5170	3.34253213088494e-05	0.000600318770706935	0.000475695099048046	NOC2L/STAT1/EXOSC6/ANKRD1/CHTOP/S100A16/S100A13/EXOSC9/PDCD11/UTP15/DDX24/IFI16/ISG20/TCEA1/NOP10/RPL3/MNDA/DDX46/RCC2/PARP10/PML/ADAR/TOP1/MAGED2/CAPG/CDKN2AIP/NOL6/DKC1/LYAR/NOLC1/SSRP1/EWSR1/PTBP1/EZR/NOP2/DDX5/XRCC1/SMARCA5/MEAK7/EXOSC7/STON2/FEN1/ITPR1/FBL/CASK/FBLL1/MRTO4/RNMT/THUMPD3/CD2AP/ILF3/UBLCP1/ILF2/MED1/NOP56/DHX15/EIF4A3/NOP58/GAR1/ELP3/ARL2/MTREX/RSL1D1/SF3B3/NOP9/ARFGEF1/PRKDC/XRCC5/TOP2B/SF3B1	70	go_cc
GO:0030665	GO:0030665	clathrin-coated vesicle membrane	15/584	43/5170	3.82221936014462e-05	0.00066006788180959	0.00052304054401979	HLA-DQB1/VAMP8/HLA-DRB1/HLA-DPA1/HLA-DRA/NECAP2/EPN1/AP2S1/RAB35/AP2A2/AP2M1/AP3B1/IGF2R/CLTC/SCARB2	15	go_cc
GO:0005905	GO:0005905	clathrin-coated pit	14/584	39/5170	4.81261715001155e-05	0.000782163897565609	0.000619789936413494	ARRB2/FNBP1/NECAP2/AAK1/EPN1/AP2S1/RAB35/FCHO2/ARRB1/AP2A2/AP2M1/ITSN1/CLTC/CTTN	14	go_cc
GO:0015030	GO:0015030	Cajal body	12/584	30/5170	4.87763677769199e-05	0.000782163897565609	0.000619789936413494	ISG20/NOP10/DDX46/DKC1/NOLC1/EWSR1/SART1/FBL/FBLL1/SART3/NOP58/GAR1	12	go_cc
GO:0005768	GO:0005768	endosome	71/584	407/5170	7.66062348372672e-05	0.00118607584282527	0.000939851447368287	HLA-DQB1/SAMD9L/VAMP8/TMEM165/ARRB2/NOX1/HLA-F/RAB27A/HLA-C/GIMAP5/HLA-B/HLA-DRB1/HLA-DPA1/CORO1A/HLA-A/HLA-DRA/B2M/UNC93B1/CD14/ARFGEF2/MRC1/PLD3/RCC2/FCGRT/PML/EPN1/AP2S1/LGMN/SNX4/RAB35/RMC1/CYBA/ANKRD13A/ANTXR2/VPS33B/TMEM192/MYO1B/ARPC2/FKBP15/CTSB/RAB8B/EZR/WASF2/AP2A2/SNX1/TM9SF2/EHD4/AP2M1/LAMP1/ACE/PIK3C3/ARHGAP1/EHD1/IGF2R/ITSN1/RFTN1/CLTC/ANKFY1/TNIK/PDIA3/NCSTN/STX7/DENND10/EHD3/SNX2/JAK1/ARF6/WASHC5/SCARB2/EEA1/SCAMP3	71	go_cc
GO:1990904	GO:1990904	ribonucleoprotein complex	74/584	430/5170	8.46853343782451e-05	0.0012674571711944	0.00100433835157357	NOC2L/DNAJC17/ISG15/PARP4/PDCD11/CPSF6/NOP10/RPL3/LGALS3/TRIM21/RBM12/IQGAP1/ADAR/DHX32/NOL6/DKC1/DDX58/NOLC1/WBP11/DDX5/SART1/SSB/SNRPD1/SRSF2/FBL/SF3B2/PRPF19/FBLL1/MRTO4/PRPF40A/SRRT/SRRM1/ILF3/SNW1/PRPF6/RALY/SNRPA1/HNRNPA3/CDC5L/PABPN1/ILF2/LUC7L2/NOP56/NCBP1/DHX15/USP39/EIF4A3/NOP58/GAR1/CALR/SNRNP40/SNRPD2/HNRNPR/MTREX/RPS27L/RSL1D1/SF3B3/ALYREF/NOP9/ARFGEF1/IK/PRKDC/SNRNP200/SND1/XRCC5/API5/HDLBP/HNRNPD/RPL22/RPL29/PRPF8/TOP2B/SF3B1/DHX38	74	go_cc
GO:0005684	GO:0005684	U2-type spliceosomal complex	18/584	62/5170	0.000106386825467966	0.0015408930527457	0.00122101008516715	SART1/SNRPD1/SF3B2/PRPF19/PRPF40A/SNW1/PRPF6/SNRPA1/CDC5L/LUC7L2/EIF4A3/SNRNP40/SNRPD2/SF3B3/IK/SNRNP200/PRPF8/SF3B1	18	go_cc
GO:0055038	GO:0055038	recycling endosome membrane	14/584	43/5170	0.000162618772469359	0.0022817446512107	0.00180806398337643	VAMP8/HLA-F/HLA-C/HLA-B/HLA-A/B2M/RAB35/RAB8B/EHD4/EHD1/PDIA3/EHD3/ARF6/SCAMP3	14	go_cc
GO:0045334	GO:0045334	clathrin-coated endocytic vesicle	12/584	34/5170	0.00020184538885745	0.00274632059384833	0.00217619589900536	HLA-DQB1/VAMP8/HLA-DRB1/HLA-DPA1/HLA-DRA/AP2S1/RAB35/AP2A2/AP2M1/IGF2R/CLTC/SCARB2	12	go_cc
GO:0031901	GO:0031901	early endosome membrane	20/584	77/5170	0.000242295543583674	0.00319972644320793	0.0025354765861078	VAMP8/TMEM165/HLA-F/HLA-C/HLA-B/HLA-A/HLA-DRA/B2M/PLD3/RCC2/PML/SNX4/VPS33B/SNX1/EHD4/EHD1/STX7/SNX2/ARF6/EEA1	20	go_cc
GO:0030136	GO:0030136	clathrin-coated vesicle	21/584	83/5170	0.000253493315682048	0.00325195710689256	0.0025768643819709	HLA-DQB1/VAMP8/RAB27A/HLA-DRB1/HLA-DPA1/HLA-DRA/NECAP2/AAK1/EPN1/AP2S1/RAB35/VPS33B/FCHO2/RAB8B/AP2A2/STON2/AP2M1/AP3B1/IGF2R/CLTC/SCARB2	21	go_cc
GO:0030532	GO:0030532	small nuclear ribonucleoprotein complex	15/584	50/5170	0.00026677517998389	0.00332727932813241	0.00263655002440219	SART1/SNRPD1/SF3B2/PRPF40A/PRPF6/SNRPA1/LUC7L2/USP39/SNRNP40/SNRPD2/SF3B3/ARFGEF1/SNRNP200/PRPF8/SF3B1	15	go_cc
GO:0097525	GO:0097525	spliceosomal snRNP complex	14/584	45/5170	0.000279308453493564	0.00337016250471014	0.00267053083247457	SART1/SNRPD1/SF3B2/PRPF40A/PRPF6/SNRPA1/LUC7L2/USP39/SNRNP40/SNRPD2/SF3B3/SNRNP200/PRPF8/SF3B1	14	go_cc
GO:0005682	GO:0005682	U5 snRNP	6/584	10/5170	0.000285225334474355	0.00337016250471014	0.00267053083247457	SNRPD1/PRPF6/SNRNP40/SNRPD2/SNRNP200/PRPF8	6	go_cc
GO:0030176	GO:0030176	integral component of endoplasmic reticulum membrane	21/584	84/5170	0.000303055775542094	0.00348902674918975	0.00276471935582261	HLA-DQB1/RTN1/HLA-F/HLA-C/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/HLA-A/TAPBP/HLA-DRA/TBL2/B2M/TRAM1/HM13/SPCS1/SEC61A1/CALR/PDIA3/ZMPSTE24	21	go_cc
GO:0030135	GO:0030135	coated vesicle	31/584	147/5170	0.000365719426592039	0.00410520056349564	0.00325297805758182	HLA-DQB1/VAMP8/HLA-F/RAB27A/HLA-C/HLA-B/HLA-DRB1/HLA-DPA1/HLA-A/HLA-DRA/NECAP2/B2M/AAK1/CTSC/EPN1/AP2S1/RAB35/DIPK2A/VPS33B/FCHO2/RAB8B/AP2A2/STON2/AP2M1/AP3B1/IGF2R/CLTC/COPB2/COPA/SCARB2/SEC31A	31	go_cc
GO:0048471	GO:0048471	perinuclear region of cytoplasm	56/584	319/5170	0.000388872150422552	0.00425862428145672	0.00337455165193382	VAMP8/STAT1/OAS2/GAK/MX1/LCP1/S100A13/GBP2/MVP/CYBB/ARFGEF2/TPPP3/S100A4/S100A6/LGMN/PTGDS/SEPTIN9/CYBA/ANKRD13A/VPS33B/CLIC1/PPIB/TMEM192/CORO1B/CKAP4/MYO1B/PLCG2/CTSB/RAB8B/EZR/MSN/CYFIP1/MANF/ITPR1/EHD4/EIF2AK2/CLIC4/LAMP1/HSP90B1/SYNC/CD2AP/CCAR1/ARHGAP1/EHD1/IGF2R/ABCD1/CALR/STX7/CYFIP2/EHD3/ARFGEF1/EXOC1/CNP/SEC31A/OBSL1/PRKCA	56	go_cc
GO:0031227	GO:0031227	intrinsic component of endoplasmic reticulum membrane	21/584	86/5170	0.000428179695745556	0.00457744484261321	0.00362718639503755	HLA-DQB1/RTN1/HLA-F/HLA-C/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/HLA-A/TAPBP/HLA-DRA/TBL2/B2M/TRAM1/HM13/SPCS1/SEC61A1/CALR/PDIA3/ZMPSTE24	21	go_cc
GO:0120114	GO:0120114	Sm-like protein family complex	15/584	54/5170	0.000667083259168402	0.00696559031085145	0.00551956282983892	SART1/SNRPD1/SF3B2/PRPF40A/PRPF6/SNRPA1/LUC7L2/USP39/SNRNP40/SNRPD2/SF3B3/ARFGEF1/SNRNP200/PRPF8/SF3B1	15	go_cc
GO:0055037	GO:0055037	recycling endosome	19/584	77/5170	0.000692265572505549	0.00706425550124981	0.005597745538442	VAMP8/HLA-F/HLA-C/HLA-B/HLA-A/B2M/ARFGEF2/RAB35/VPS33B/RAB8B/EHD4/EHD1/ITSN1/TNIK/PDIA3/STX7/EHD3/ARF6/SCAMP3	19	go_cc
GO:0030684	GO:0030684	preribosome	12/584	39/5170	0.000846213144346735	0.00844332670692631	0.00669052731670635	NOC2L/PDCD11/NOL6/FBL/FBLL1/MRTO4/NOP56/NOP58/RSL1D1/NOP9/PRKDC/XRCC5	12	go_cc
GO:0001650	GO:0001650	fibrillar center	15/584	56/5170	0.00101071605752626	0.00986546760498456	0.00781743769894452	ANKRD1/UTP15/DDX46/TOP1/DKC1/NOLC1/EZR/SMARCA5/FBL/FBLL1/RNMT/CD2AP/NOP56/NOP58/GAR1	15	go_cc
GO:0035861	GO:0035861	site of double-strand break	9/584	25/5170	0.00108282096824331	0.0103443960583244	0.00819694260394714	SAMHD1/ACTR2/ARPC2/ARPC4/TP53BP1/ACTR3/PRPF19/ARPC3/RAD50	9	go_cc
GO:0032040	GO:0032040	small-subunit processome	8/584	21/5170	0.00134420518211051	0.0125739193076587	0.00996362613055598	PDCD11/NOL6/FBL/FBLL1/NOP56/NOP58/PRKDC/XRCC5	8	go_cc
GO:0071005	GO:0071005	U2-type precatalytic spliceosome	11/584	36/5170	0.00147624963138119	0.0135272670304113	0.0107190628444005	SART1/SNRPD1/SF3B2/PRPF6/SNRPA1/SNRPD2/SF3B3/IK/SNRNP200/PRPF8/SF3B1	11	go_cc
GO:0005689	GO:0005689	U12-type spliceosomal complex	6/584	13/5170	0.00172805135169307	0.0155179011382038	0.0122964496183633	SNRPD1/SF3B2/DHX15/SNRPD2/SF3B3/SF3B1	6	go_cc
GO:0005694	GO:0005694	chromosome	62/584	385/5170	0.00193074216640566	0.0169981026022773	0.0134693674353996	NOC2L/NFKB2/STAT1/H1-5/MAGED1/H1-3/NCOR2/STAT2/EXOSC9/RTF2/SAMHD1/MTA2/CPSF6/PARP9/RCC2/STAT6/PML/RECQL/TOP1/TMPO/NOL6/ACTR2/SSRP1/ARPC2/ARPC4/ADD3/ARRB1/SUPT16H/TP53BP1/XRCC1/ACTR3/BUB3/SMARCA5/TERF2/SSB/PDS5A/FEN1/CHD4/PRPF19/TRIM28/ARPC3/SFPQ/TNKS1BP1/NFKB1/HDAC2/RAD50/GAR1/RAD21/SMARCA2/RELA/IPO4/STAG2/RSL1D1/ALYREF/IK/PRKDC/CCAR2/XRCC5/POLR2B/MCM7/TOP2B/SF3B1	62	go_cc
GO:0071011	GO:0071011	precatalytic spliceosome	11/584	38/5170	0.0023962067778803	0.0202999404390236	0.0160857575158598	SART1/SNRPD1/SF3B2/PRPF6/SNRPA1/SNRPD2/SF3B3/IK/SNRNP200/PRPF8/SF3B1	11	go_cc
GO:0090734	GO:0090734	site of DNA damage	11/584	38/5170	0.0023962067778803	0.0202999404390236	0.0160857575158598	SAMHD1/PARP9/ACTR2/ARPC2/ARPC4/TP53BP1/ACTR3/PRPF19/ARPC3/RAD50/XRCC5	11	go_cc
GO:0071007	GO:0071007	U2-type catalytic step 2 spliceosome	8/584	23/5170	0.00263899020061708	0.021942714816242	0.0173874987876915	SNRPD1/PRPF19/SNW1/SNRPA1/CDC5L/SNRNP40/SNRPD2/PRPF8	8	go_cc
GO:0030118	GO:0030118	clathrin coat	8/584	24/5170	0.00357407274029428	0.0289783596372679	0.0229625731037312	NECAP2/EPN1/AP2S1/AP2A2/AP2M1/AP3B1/IGF2R/CLTC	8	go_cc
GO:0005769	GO:0005769	early endosome	32/584	175/5170	0.00361422748259912	0.0289783596372679	0.0229625731037312	SAMD9L/VAMP8/TMEM165/NOX1/HLA-F/HLA-C/HLA-B/CORO1A/HLA-A/HLA-DRA/B2M/PLD3/RCC2/PML/SNX4/VPS33B/MYO1B/FKBP15/WASF2/SNX1/EHD4/EHD1/IGF2R/RFTN1/ANKFY1/NCSTN/STX7/EHD3/SNX2/ARF6/WASHC5/EEA1	32	go_cc
GO:0005686	GO:0005686	U2 snRNP	6/584	15/5170	0.0041338508517784	0.0323294014114865	0.0256179525895732	SNRPD1/SF3B2/SNRPA1/SNRPD2/SF3B3/SF3B1	6	go_cc
GO:0016363	GO:0016363	nuclear matrix	13/584	52/5170	0.00417618102865528	0.0323294014114865	0.0256179525895732	NCOR2/LMNB1/CAD/PML/CLIC4/CASK/PRPF40A/SRRM1/SNW1/SFPQ/RAD21/STAG2/ARFGEF1	13	go_cc
