paste_into_igv_junction,seqnames,start,end,width,strand,gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,control_mean_psi,tdp43kd_mean_psi,a5ss,a3ss,es,num_junctions,num_exons,de_novo_junctions,lsv_junc,strand_start,transcript_id_start,exon_name_start,exon_rank_start,gene_id_start,strand_end,transcript_id_end,exon_name_end,exon_rank_end,gene_id_end,gene_id_junc,junc_in_ref,junc_cat,pathological_splicing
chr3:14511479-14511586,chr3,14511479,14511586,108,-,GRIP2,ENSG00000144596.13,ENSG00000144596.13:t:14511413-14511479,0.103002679,0.54599,0.000149399,0.034,0.13,FALSE,FALSE,TRUE,3,3,0,ENSG00000144596.13:t:14511413-14511479_14511479-14511586,-,ENST00000621039.5|ENST00000619221.4|ENST00000430219.2|ENST00000637182.1,ENSE00003479702.1,15|16|3,ENSG00000144596.13,NA,NA,NA,NA,NA,ENSG00000144596.13,FALSE,novel_donor,Y
chr5:151787794-151790323,chr5,151787794,151790323,2530,+,G3BP1,ENSG00000145907.16,ENSG00000145907.16:t:151790147-151790404,0.102405615,0.54741,1.60E-06,0.003,0.125,FALSE,FALSE,TRUE,2,3,1,ENSG00000145907.16:t:151790147-151790404_151787794-151790323,+,ENST00000676644.1|ENST00000677105.1|ENST00000678646.1|ENST00000678904.1|ENST00000677146.1,ENSE00003906317.1|ENSE00002031512.2,4|3,ENSG00000145907.16,+,ENST00000523519.5|ENST00000520578.6|ENST00000678070.1|ENST00000678925.1|ENST00000678964.1|ENST00000394123.7|ENST00000676978.1|ENST00000679289.1|ENST00000677493.1|ENST00000676644.1|ENST00000677757.1|ENST00000677909.1|ENST00000522761.6|ENST00000676827.1|ENST00000520177.6|ENST00000519832.1|ENST00000677602.1|ENST00000678854.1|ENST00000507878.7|ENST00000522367.6|ENST00000677105.1|ENST00000678101.1|ENST00000356245.8|ENST00000677381.1|ENST00000678646.1|ENST00000678904.1|ENST00000678369.1|ENST00000677252.1|ENST00000678564.1|ENST00000677323.1|ENST00000677923.1|ENST00000677146.1|ENST00000678086.1,ENSE00003577419.1|ENSE00003507851.1,3|5|2|4,ENSG00000145907.16,ENSG00000145907.16,TRUE,annotated,
chr12:116054357-116096669,chr12,116054357,116096669,42313,-,MED13L,ENSG00000123066.9,ENSG00000123066.9:s:116096669-116096911,0.102830742,0.54802,6.12E-06,0,0.126,FALSE,FALSE,TRUE,2,3,0,ENSG00000123066.9:s:116096669-116096911_116054357-116096669,NA,NA,NA,NA,NA,-,ENST00000281928.9|ENST00000650226.1|ENST00000648737.1|ENST00000548743.2|ENST00000647567.1,ENSE00001406609.1|ENSE00003832504.1,4|1|3,ENSG00000123066.9,ENSG00000123066.9,FALSE,novel_acceptor,Y
chr1:20686126-20690188,chr1,20686126,20690188,4063,-,KIF17,ENSG00000117245.13,ENSG00000117245.13:s:20690188-20690335,0.104851135,0.54936,4.95E-05,0.04,0.149,FALSE,FALSE,TRUE,2,3,1,ENSG00000117245.13:s:20690188-20690335_20686126-20690188,-,ENST00000490034.5|ENST00000375044.5|ENST00000400463.8|ENST00000247986.2|ENST00000498225.1,ENSE00003578468.1|ENSE00003668142.1,3|9|2,ENSG00000117245.13,-,ENST00000490034.5|ENST00000375044.5|ENST00000400463.8|ENST00000247986.2,ENSE00003661022.1|ENSE00003649528.1,2|7,ENSG00000117245.13,ENSG00000117245.13,TRUE,annotated,Y
chr19:14972917-14976761,chr19,14972917,14976761,3845,-,SLC1A6,ENSG00000105143.13,ENSG00000105143.13:t:14972689-14975273,0.10275676,0.55164,7.41E-07,0.024,0.127,TRUE,TRUE,TRUE,10,7,1,ENSG00000105143.13:t:14972689-14975273_14972917-14976761,-,ENST00000594383.2|ENST00000430939.6|ENST00000600144.5|ENST00000598504.5|ENST00000544886.6|ENST00000599636.1|ENST00000595863.1|ENST00000601761.1,ENSE00003493206.1|ENSE00003668783.1|ENSE00003125358.1,2|4,ENSG00000105143.13,-,ENST00000600144.5|ENST00000598504.5|ENST00000601761.1,ENSE00003215952.1|ENSE00003125377.1|ENSE00003149252.1,1|3,ENSG00000105143.13,ENSG00000105143.13,TRUE,annotated,Y
chr2:24054192-24060814,chr2,24054192,24060814,6623,+,FKBP1B,ENSG00000119782.14,ENSG00000119782.14:t:24060814-24060926,0.102832457,0.55194,5.96E-06,0.04,0.129,TRUE,FALSE,TRUE,5,4,1,ENSG00000119782.14:t:24060814-24060926_24054192-24060814,+,ENST00000438630.5|ENST00000421839.1,ENSE00001747644.1,3|2,ENSG00000119782.14,+,ENST00000453731.1|ENST00000380991.8|ENST00000438630.5|ENST00000380986.9|ENST00000496149.5|ENST00000452109.1|ENST00000421839.1,ENSE00003605798.1|ENSE00003472153.1|ENSE00003491815.1|ENSE00003688845.1,4|3|5,ENSG00000205639.12|ENSG00000119782.14,ENSG00000119782.14|ENSG00000205639.12,TRUE,annotated,Y
chr17:78836976-78838587,chr17,78836976,78838587,1612,-,USP36,ENSG00000055483.19,ENSG00000055483.19:s:78838587-78838794,0.103440416,0.55388,5.39E-06,0.003,0.127,FALSE,TRUE,TRUE,3,3,0,ENSG00000055483.19:s:78838587-78838794_78836976-78838587,NA,NA,NA,NA,NA,-,ENST00000589225.5|ENST00000542802.7|ENST00000312010.10|ENST00000588086.5|ENST00000589424.5|ENST00000590546.6|ENST00000586531.5|ENST00000591942.6|ENST00000586896.2|ENST00000592907.5|ENST00000592275.5|ENST00000587783.5|ENST00000588365.1,ENSE00001033869.1|ENSE00002854061.1,2|1,ENSG00000055483.19,ENSG00000055483.19,FALSE,novel_acceptor,Y
chr17:81559416-81563921,chr17,81559416,81563921,4506,-,NPLOC4,ENSG00000182446.14,ENSG00000182446.14:t:81556887-81559416,0.103291454,0.55638,9.27E-08,0.005,0.132,TRUE,FALSE,TRUE,8,6,1,ENSG00000182446.14:t:81556887-81559416_81559416-81563921,-,ENST00000331134.11|ENST00000572760.5|ENST00000574964.1|ENST00000572346.5|ENST00000573519.5|ENST00000573876.1|ENST00000571714.5|ENST00000572824.1|ENST00000573212.5|ENST00000576713.6,ENSE00001292174.8|ENSE00002653028.1|ENSE00002666614.1|ENSE00002668984.1|ENSE00002681217.1|ENSE00002653271.1|ENSE00002648266.1|ENSE00002653787.1|ENSE00002644902.1|ENSE00003695100.1,17|3|2|5|6,ENSG00000182446.14,-,ENST00000573519.5,ENSE00002683940.1,4,ENSG00000182446.14,ENSG00000182446.14,TRUE,annotated,Y
chr15:77756719-77795939,chr15,77756719,77795939,39221,-,LINGO1,ENSG00000169783.13,ENSG00000169783.13:s:77795939-77796053,0.103312984,0.55657,9.92E-10,0.001,0.131,FALSE,FALSE,TRUE,3,4,0,ENSG00000169783.13:s:77795939-77796053_77756719-77795939,NA,NA,NA,NA,NA,-,ENST00000566711.5|ENST00000570216.5|ENST00000562933.5|ENST00000563316.5|ENST00000567605.5|ENST00000568951.5|ENST00000564066.1,ENSE00002579186.1,2,ENSG00000169783.13,ENSG00000169783.13,FALSE,novel_acceptor,Y
chr8:142529155-142529387,chr8,142529155,142529387,233,+,ADGRB1,ENSG00000181790.11,ENSG00000181790.11:t:142529387-142529503,0.103462414,0.55731,8.40E-06,0.001,0.128,FALSE,TRUE,FALSE,3,2,0,ENSG00000181790.11:t:142529387-142529503_142529155-142529387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,
chr15:76337967-76340276,chr15,76337967,76340276,2310,+,ISL2,ENSG00000159556.10,ENSG00000159556.10:s:76337438-76337967,0.104034488,0.55778,7.46E-06,0.017,0.129,FALSE,FALSE,TRUE,2,3,1,ENSG00000159556.10:s:76337438-76337967_76337967-76340276,+,ENST00000290759.9|ENST00000558656.1|ENST00000558437.1,ENSE00001110855.1|ENSE00002572420.1,2|1,ENSG00000159556.10,+,ENST00000290759.9|ENST00000558656.1,ENSE00003618559.1|ENSE00003571750.1,4|3,ENSG00000159556.10,ENSG00000159556.10,TRUE,annotated,Y
chr1:53274820-53275631,chr1,53274820,53275631,812,-,LRP8,ENSG00000157193.18,ENSG00000157193.18:s:53275631-53275753,0.10353321,0.55850,1.79E-09,0.026,0.131,FALSE,FALSE,TRUE,2,3,0,ENSG00000157193.18:s:53275631-53275753_53274820-53275631,NA,NA,NA,NA,NA,-,ENST00000306052.12|ENST00000661457.1|ENST00000667377.1|ENST00000668448.1|ENST00000657895.1|ENST00000662198.1|ENST00000668071.1|ENST00000480045.6|ENST00000653217.1|ENST00000465675.6|ENST00000371454.6|ENST00000662604.1|ENST00000658404.1|ENST00000354412.7|ENST00000668991.1|ENST00000656486.1|ENST00000655704.1|ENST00000659993.1,ENSE00003632064.1|ENSE00003577148.1,6|5|2|4,ENSG00000157193.18,ENSG00000157193.18,FALSE,novel_acceptor,Y
chr15:77641025-77677089,chr15,77641025,77677089,36065,-,LINGO1,ENSG00000169783.13,ENSG00000169783.13:s:77677089-77677174,0.103575103,0.55887,6.92E-09,0,0.128,FALSE,FALSE,TRUE,2,3,0,ENSG00000169783.13:s:77677089-77677174_77641025-77677089,NA,NA,NA,NA,NA,-,ENST00000561030.5|ENST00000567726.5|ENST00000566711.5|ENST00000559893.5|ENST00000564472.5|ENST00000570216.5|ENST00000562933.5|ENST00000563316.5,ENSE00002574655.1,3|2|5,ENSG00000169783.13,ENSG00000169783.13,FALSE,novel_acceptor,Y
chr19:39316136-39316734,chr19,39316136,39316734,599,-,LRFN1,ENSG00000128011.5,ENSG00000128011.5:t:39316082-39316136,0.104003122,0.55982,3.93E-06,0,0.128,FALSE,FALSE,TRUE,2,3,0,ENSG00000128011.5:t:39316082-39316136_39316136-39316734,-,ENST00000248668.5,ENSE00003194489.1,3,ENSG00000128011.5,NA,NA,NA,NA,NA,ENSG00000128011.5,FALSE,novel_donor,Y
chr20:6015490-6026171,chr20,6015490,6026171,10682,+,CRLS1,ENSG00000088766.12,ENSG00000088766.12:s:6015361-6016055,0.103916231,0.56149,4.96E-07,0.01,0.13,FALSE,FALSE,TRUE,4,5,0,ENSG00000088766.12:s:6015361-6016055_6015490-6026171,+,ENST00000652720.1|ENST00000452938.5|ENST00000378863.9|ENST00000378868.4|ENST00000489345.5,ENSE00003846523.1|ENSE00003498085.1|ENSE00003496984.1,20|3|2,ENSG00000286235.1|ENSG00000088766.12,+,ENST00000489345.5,ENSE00001866579.1,4,ENSG00000088766.12,ENSG00000286235.1|ENSG00000088766.12,FALSE,ambig_gene,Y
chr12:131995013-132005076,chr12,131995013,132005076,10064,+,EP400,ENSG00000183495.14,ENSG00000183495.14:t:132005077-132005184,0.104461164,0.56332,5.25E-05,0.007,0.123,FALSE,FALSE,TRUE,3,3,0,ENSG00000183495.14:t:132005077-132005184_131995013-132005076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr11:71503303-71505511,chr11,71503303,71505511,2209,+,NADSYN1,ENSG00000172890.13,ENSG00000172890.13:t:71505511-71505874,0.104558261,0.56373,6.31E-05,0.029,0.13,FALSE,TRUE,TRUE,5,5,0,ENSG00000172890.13:t:71505511-71505874_71503303-71505511,+,ENST00000525593.5,ENSE00002147650.1,4,ENSG00000172890.13,NA,NA,NA,NA,NA,ENSG00000172890.13,FALSE,novel_acceptor,Y
chrY:315020-316914,chrY,315020,316914,1895,-,GTPBP6,ENSG00000178605.13_PAR_Y,ENSG00000178605.13_PAR_Y:s:316780-317051,0.104179692,0.56405,1.91E-06,0.028,0.132,TRUE,FALSE,TRUE,4,3,0,ENSG00000178605.13_PAR_Y:s:316780-317051_315020-316914,-,ENST00000326153.9_PAR_Y,ENSE00003714129.1,4,ENSG00000178605.13_PAR_Y,-,ENST00000326153.9_PAR_Y,ENSE00003733507.1,2,ENSG00000178605.13_PAR_Y,ENSG00000178605.13_PAR_Y,FALSE,novel_exon_skip,
chr15:52780742-52788780,chr15,52780742,52788780,8039,-,ONECUT1,ENSG00000169856.9,ENSG00000169856.9:s:52788780-52788948,0.104358408,0.56462,1.53E-06,0.006,0.129,FALSE,FALSE,TRUE,3,4,0,ENSG00000169856.9:s:52788780-52788948_52780742-52788780,NA,NA,NA,NA,NA,-,ENST00000305901.7|ENST00000570208.2,ENSE00001224516.8|ENSE00002597207.1,1|2,ENSG00000169856.9,ENSG00000169856.9,FALSE,novel_acceptor,Y
chr4:32157136-32157956,chr4,32157136,32157956,821,+,LINC02506,ENSG00000251129.2,ENSG00000251129.2:t:32157956-32158081,0.104325101,0.56545,4.78E-09,0.005,0.133,FALSE,FALSE,TRUE,2,3,0,ENSG00000251129.2:t:32157956-32158081_32157136-32157956,NA,NA,NA,NA,NA,+,ENST00000660373.1|ENST00000665582.1,ENSE00003859575.1,3|4,ENSG00000251129.2,ENSG00000251129.2,FALSE,novel_donor,Y
chr20:50129690-50143502,chr20,50129690,50143502,13813,-,PEDS1,ENSG00000240849.11,ENSG00000240849.11:s:50143502-50143621,0.104485101,0.56621,9.61E-06,0.017,0.127,FALSE,FALSE,TRUE,3,3,1,ENSG00000240849.11:s:50143502-50143621_50129690-50143502,-,ENST00000341698.2|ENST00000371652.9|ENST00000371650.9|ENST00000371656.3|ENST00000453505.6|ENST00000371658.3,ENSE00003578680.1|ENSE00003628060.1|ENSE00003516300.1|ENSE00003602567.1,4|3|5,ENSG00000124208.16|ENSG00000240849.11,-,ENST00000341698.2|ENST00000371652.9|ENST00000371650.9|ENST00000453505.6|ENST00000371658.3,ENSE00003597540.1|ENSE00003597588.1|ENSE00003675129.1,2|3,ENSG00000124208.16|ENSG00000240849.11,ENSG00000124208.16|ENSG00000240849.11,TRUE,annotated,Y
chr16:30880317-30887794,chr16,30880317,30887794,7478,-,BCL7C,ENSG00000099385.12,ENSG00000099385.12:t:30880224-30880316,0.106244266,0.56889,0.000341099,0.035,0.139,FALSE,FALSE,FALSE,2,2,0,ENSG00000099385.12:t:30880224-30880316_30880317-30887794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,
chr15:74996320-75009891,chr15,74996320,75009891,13572,+,SCAMP5,ENSG00000198794.12,ENSG00000198794.12:s:74995967-74996320,0.105350179,0.56992,6.63E-06,0.01,0.132,TRUE,FALSE,TRUE,4,5,0,ENSG00000198794.12:s:74995967-74996320_74996320-75009891,+,ENST00000568119.5|ENST00000565989.5,ENSE00002601543.1|ENSE00002610700.1,1,ENSG00000198794.12,+,ENST00000562327.5|ENST00000564491.5,ENSE00002611798.1,2,ENSG00000198794.12,ENSG00000198794.12,FALSE,novel_combo,
chrX:9689246-9691579,chrX,9689246,9691579,2334,+,TBL1X,ENSG00000101849.18,ENSG00000101849.18:t:9691579-9691711,0.10566927,0.57088,9.59E-06,0.002,0.132,FALSE,FALSE,TRUE,2,3,0,ENSG00000101849.18:t:9691579-9691711_9689246-9691579,NA,NA,NA,NA,NA,+,ENST00000407597.7|ENST00000380961.5|ENST00000424279.6|ENST00000645353.2|ENST00000645686.1|ENST00000646640.1|ENST00000683056.1|ENST00000647060.1|ENST00000684110.1,ENSE00001777264.1|ENSE00003919358.1,8|7|5|6|3,ENSG00000101849.18,ENSG00000101849.18,FALSE,novel_donor,Y
chr19:17623216-17623542,chr19,17623216,17623542,327,-,UNC13A,ENSG00000130477.16,ENSG00000130477.16:s:17623542-17623547,0.105170664,0.57095,2.69E-06,0.024,0.131,FALSE,FALSE,TRUE,3,4,0,ENSG00000130477.16:s:17623542-17623547_17623216-17623542,NA,NA,NA,NA,NA,-,ENST00000519716.7|ENST00000551649.5,ENSE00001641559.1,36,ENSG00000130477.16,ENSG00000130477.16,FALSE,novel_acceptor,Y
chr2:61088468-61090479,chr2,61088468,61090479,2012,+,KIAA1841,ENSG00000162929.14,ENSG00000162929.14:s:61088358-61089670,0.105200875,0.57153,2.23E-06,0.01,0.131,FALSE,FALSE,TRUE,2,3,0,ENSG00000162929.14:s:61088358-61089670_61088468-61090479,+,ENST00000402291.6|ENST00000453186.5|ENST00000295031.9|ENST00000453873.5|ENST00000612149.1|ENST00000356719.6,ENSE00003583838.1|ENSE00003569895.1,10|9|8|7,ENSG00000162929.14,NA,NA,NA,NA,NA,ENSG00000162929.14,FALSE,novel_acceptor,Y
chr12:113058451-113093162,chr12,113058451,113093162,34712,+,DTX1,ENSG00000135144.7,ENSG00000135144.7:t:113093162-113093223,0.105210139,0.57289,4.91E-06,0.031,0.133,FALSE,FALSE,TRUE,3,3,0,ENSG00000135144.7:t:113093162-113093223_113058451-113093162,+,ENST00000257600.3,ENSE00001000323.5,1,ENSG00000135144.7,+,ENST00000257600.3|ENST00000547974.5,ENSE00003519027.1|ENSE00003458373.1,3|2,ENSG00000135144.7,ENSG00000135144.7,FALSE,novel_exon_skip,Y
chr18:79729069-79753652,chr18,79729069,79753652,24584,+,CTDP1,ENSG00000060069.18,ENSG00000060069.18:s:79728907-79729069,0.105267419,0.57348,3.57E-06,0.03,0.133,FALSE,FALSE,TRUE,3,3,1,ENSG00000060069.18:s:79728907-79729069_79729069-79753652,+,ENST00000613122.5|ENST00000591598.5,ENSE00000670824.1,11,ENSG00000060069.18,+,ENST00000613122.5|ENST00000075430.11|ENST00000591598.5|ENST00000299543.9|ENST00000590599.2,ENSE00003717925.2|ENSE00003670433.1|ENSE00003642463.1|ENSE00001911230.2|ENSE00002828613.1,13|12|4|2,ENSG00000060069.18,ENSG00000060069.18,TRUE,annotated,
chr1:39159020-39231182,chr1,39159020,39231182,72163,+,MACF1,ENSG00000127603.31,ENSG00000127603.31:t:39231182-39231243,0.105940024,0.57961,1.51E-08,0.035,0.136,FALSE,FALSE,TRUE,3,4,1,ENSG00000127603.31:t:39231182-39231243_39159020-39231182,+,ENST00000672812.1,ENSE00003894298.1,1,ENSG00000127603.31,+,ENST00000361689.7|ENST00000567887.5|ENST00000372915.8|ENST00000524432.5|ENST00000467673.5|ENST00000672812.1|ENST00000564288.5|ENST00000494012.1|ENST00000480624.5|ENST00000469366.1|ENST00000671089.1,ENSE00003584786.1|ENSE00003463103.1,3|2,ENSG00000127603.31,ENSG00000127603.31,TRUE,annotated,Y
chr4:53143787-53145333,chr4,53143787,53145333,1547,-,SCFD2,ENSG00000184178.16,ENSG00000184178.16:s:53145333-53145582,0.10612385,0.58033,1.26E-06,0,0.13,FALSE,FALSE,TRUE,2,3,0,ENSG00000184178.16:s:53145333-53145582_53143787-53145333,NA,NA,NA,NA,NA,-,ENST00000401642.8|ENST00000388940.8,ENSE00001322067.1,5,ENSG00000184178.16,ENSG00000184178.16,FALSE,novel_acceptor,Y
chr1:34907437-34929069,chr1,34907437,34929069,21633,-,DLGAP3,ENSG00000116544.12,ENSG00000116544.12:t:34907355-34907437,0.106044893,0.58051,4.42E-07,0.005,0.134,TRUE,FALSE,TRUE,6,5,0,ENSG00000116544.12:t:34907355-34907437_34907437-34929069,-,ENST00000373347.6|ENST00000495979.1,ENSE00001460352.1,2,ENSG00000116544.12,NA,NA,NA,NA,NA,ENSG00000116544.12,FALSE,novel_donor,Y
